student_id,age,gender,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
5895,21,2,6.87,57.1,2,9.0,3,4,3,3
3729,19,2,6.91,54.8,2,9.1,3,2,3,3
8959,20,2,5.45,99.4,2,7.6,3,4,3,3
7672,20,2,4.73,47.6,2,7.0,3,4,3,3
6000,17,2,3.81,78.6,2,7.8,3,4,3,3
5752,18,2,2.94,79.5,2,4.8,3,0,3,3
1689,24,2,5.72,60.0,2,4.8,3,3,3,3
6837,22,2,1.82,47.8,2,4.8,3,1,3,3
6537,19,2,6.04,67.1,2,8.2,3,0,3,3
4843,17,2,5.32,75.3,2,8.4,3,1,3,3
15845,23,2,3.22,67.3,2,9.8,3,1,3,3
197,19,2,5.71,77.1,2,8.2,3,1,3,3
519,20,2,1.8,70.7,2,9.7,3,4,3,3
10582,19,2,4.97,88.6,2,8.3,3,0,3,3
13321,20,2,0.54,99.4,2,4.4,3,0,3,3
10791,21,2,4.16,85.9,2,8.6,3,2,3,3
16940,19,2,1.52,92.0,2,7.7,3,4,3,3
842,22,2,0.28,91.9,2,7.5,3,4,3,3
9508,20,2,1.04,77.3,2,7.6,3,2,3,3
10483,24,2,2.68,79.3,2,8.7,3,1,3,3
5175,18,2,6.41,85.3,2,9.6,3,2,3,3
19948,21,2,5.66,61.1,2,8.4,3,4,3,3
14470,21,2,3.83,90.7,2,9.3,3,0,3,3
7609,19,2,1.4,54.6,2,4.2,3,1,3,3
11265,24,2,7.67,67.5,2,9.1,3,1,3,3
14021,21,2,3.74,42.3,2,5.3,3,1,3,3
18602,23,2,2.0,90.7,2,9.9,3,0,3,3
19264,24,2,2.38,70.5,2,7.1,3,0,3,3
7098,17,2,5.08,74.7,2,4.6,3,0,3,3
12597,23,2,2.27,68.3,2,6.0,3,3,3,3
455,21,2,7.72,59.9,2,7.3,3,3,3,3
18087,22,2,3.44,80.7,2,4.5,3,0,3,3
18221,22,2,6.05,53.1,2,4.1,3,3,3,3
2863,23,2,5.39,40.6,2,6.3,3,3,3,3
17393,18,2,0.76,53.2,2,7.1,3,1,3,3
3853,17,2,1.18,99.4,2,8.6,3,3,3,3
14005,21,2,7.73,61.8,2,5.6,3,0,3,3
183,20,2,4.74,45.9,2,5.6,3,1,3,3
15128,20,2,6.24,90.0,2,8.9,3,2,3,3
18773,23,2,6.97,91.4,2,5.3,3,1,3,3
13419,20,2,0.17,91.8,2,7.3,3,0,3,3
2523,18,2,6.95,80.9,2,5.2,3,0,3,3
16261,24,2,3.24,42.1,2,5.5,3,4,3,3
4983,18,2,7.58,54.6,2,4.5,3,1,3,3
16569,21,2,6.9,67.1,2,7.7,3,2,3,3
19447,17,2,2.7,77.1,2,5.2,3,2,3,3
100,18,2,5.56,84.1,2,8.8,3,2,3,3
11033,21,2,7.35,60.5,2,4.2,3,0,3,3
10485,17,2,3.78,45.0,2,9.9,3,2,3,3
15050,18,2,4.68,41.5,2,4.1,3,1,3,3
10929,19,2,7.24,60.1,2,4.1,3,0,3,3
18501,18,2,3.08,43.8,2,6.2,3,0,3,3
12009,21,2,1.06,96.6,2,8.9,3,1,3,3
18418,18,2,7.84,87.7,2,9.0,3,3,3,3
19622,19,2,5.8,49.4,2,7.5,3,1,3,3
16482,17,2,6.77,89.2,2,9.1,3,1,3,3
9189,20,2,3.6,69.4,2,6.0,3,0,3,3
15007,19,2,5.06,43.6,2,4.9,3,3,3,3
4742,20,2,3.51,67.1,2,4.4,3,4,3,3
1708,24,2,3.68,96.9,2,4.3,3,4,3,3
255,22,2,0.25,78.6,2,6.7,3,1,3,3
13545,24,2,5.4,97.1,2,5.6,3,3,3,3
8442,18,2,4.42,40.7,2,4.6,3,2,3,3
1303,22,2,2.0,77.3,2,4.1,3,2,3,3
14442,18,2,5.32,64.9,2,4.6,3,2,3,3
15077,17,2,2.09,83.0,2,5.8,3,4,3,3
19383,17,2,4.78,51.1,2,8.1,3,4,3,3
6919,17,2,5.63,57.8,2,7.6,3,0,3,3
8455,24,2,0.19,69.5,2,6.6,3,4,3,3
4626,20,2,3.71,49.4,2,7.7,3,3,3,3
3931,22,2,6.1,40.6,2,7.8,3,3,3,3
7181,20,2,3.2,95.3,2,5.1,3,3,3,3
19846,21,2,2.93,52.9,2,7.7,3,4,3,3
8826,22,2,0.08,90.3,2,6.2,3,2,3,3
934,22,2,5.12,46.2,2,4.2,3,1,3,3
260,21,2,6.38,88.2,2,7.3,3,3,3,3
19081,18,2,5.2,56.8,2,4.6,3,1,3,3
15875,23,2,2.09,89.1,2,5.7,3,0,3,3
9091,21,2,4.6,72.6,2,8.0,3,1,3,3
2519,18,2,4.54,52.5,2,8.3,3,4,3,3
19854,22,2,5.9,58.9,2,8.6,3,2,3,3
1374,20,2,1.75,42.1,2,9.9,3,0,3,3
19879,20,2,7.32,88.2,2,5.9,3,1,3,3
4049,19,2,1.28,49.6,2,7.3,3,1,3,3
6351,19,2,5.66,68.6,2,5.6,3,4,3,3
8044,18,2,7.91,90.6,2,5.9,3,0,3,3
14596,17,2,3.73,70.7,2,6.8,3,4,3,3
2010,22,2,6.4,49.9,2,6.8,3,2,3,3
7807,18,2,2.24,72.6,2,7.4,3,4,3,3
19837,19,2,4.64,83.9,2,4.3,3,4,3,3
11342,21,2,4.77,98.2,2,8.5,3,0,3,3
3951,20,2,0.38,67.1,2,7.7,3,4,3,3
9816,17,2,0.08,62.1,2,8.3,3,1,3,3
16446,19,2,7.67,75.5,2,9.9,3,0,3,3
2913,20,2,6.69,87.9,2,6.7,3,1,3,3
16192,23,2,5.59,91.7,2,7.1,3,1,3,3
2875,20,2,1.27,87.0,2,9.6,3,0,3,3
8307,20,2,4.73,68.9,2,9.5,3,1,3,3
1038,17,2,1.21,67.8,2,7.7,3,3,3,3
2705,17,2,4.44,47.7,2,5.2,3,1,3,3
